P. Name,P. Zone Class,P. Composition Class,P. Mass (EU),P. Radius (EU),P. Gravity (EU),P. Ts Mean (K),P. Period (days),P. Mean Distance (AU),S. Constellation,P. Habitable,P. Disc. Year
KOI-1304.01,Hot,rocky-iron,6.01,1.74,1.98,1146.8,4.60,0.06,Cyg,0,2015
KOI-1305.01,Hot,rocky-iron,2.73,1.40,1.39,1163.0,2.63,0.04,Cyg,0,2015
KOI-1305.02,Hot,rocky-iron,1.23,1.11,1.00,880.7,6.19,0.06,Cyg,0,2015
KOI-1306.01,Hot,rocky-iron,2.53,1.37,1.35,1513.4,1.80,0.03,Cyg,0,2015
KOI-1306.02,Hot,rocky-iron,3.24,1.47,1.50,1224.2,3.47,0.04,Cyg,0,2015
KOI-1306.03,Hot,rocky-iron,3.32,1.48,1.52,1030.8,5.91,0.06,Cyg,0,2015
KOI-1306.04,Hot,rocky-iron,6.69,1.79,2.09,624.9,29.22,0.19,Cyg,0,2015
KOI-1307.02,Hot,rocky-iron,22.30,2.40,3.87,728.9,20.34,0.14,Cyg,0,2015
KOI-1308.01,Hot,rocky-iron,11.84,2.07,2.76,680.8,23.58,0.16,Dra,0,2015
KOI-1310.01,Hot,rocky-iron,17.43,2.27,3.38,745.4,19.13,0.14,Dra,0,2015
KOI-1312.01,Hot,rocky-iron,6.55,1.78,2.07,1135.6,6.15,0.07,Dra,0,2015
KOI-1315.01,Hot,rocky-iron,2.22,1.32,1.28,1038.2,6.85,0.07,Cyg,0,2015
KOI-1316.01,Hot,rocky-iron,6.55,1.78,2.07,1300.3,7.65,0.08,Cyg,0,2015
KOI-1331.01,Hot,rocky-iron,8.07,1.88,2.28,752.5,6.80,0.06,Cyg,0,2015
KOI-1332.02,Hot,rocky-iron,4.82,1.64,1.79,1108.7,6.10,0.06,Lyr,0,2015
KOI-1336.04,Hot,rocky-iron,4.21,1.58,1.69,1252.8,4.46,0.05,Cyg,0,2015
KOI-1337.01,Hot,rocky-iron,1.84,1.25,1.18,1230.2,1.92,0.03,Lyr,0,2015
KOI-1338.01,Hot,rocky-iron,3.66,1.52,1.58,1279.1,3.22,0.04,Cyg,0,2015
KOI-1339.01,Hot,rocky-iron,9.32,1.95,2.45,1248.0,4.17,0.05,Lyr,0,2015
KOI-1341.01,Hot,rocky-iron,8.07,1.88,2.28,1309.5,4.51,0.06,Lyr,0,2015
KOI-1342.01,Hot,rocky-iron,2.40,1.35,1.32,1306.9,3.77,0.05,Cyg,0,2015
KOI-1342.02,Hot,rocky-iron,5.63,1.71,1.93,1022.5,8.18,0.08,Cyg,0,2015
KOI-1344.01,Hot,rocky-iron,0.59,0.89,0.75,1073.4,4.49,0.05,Lyr,0,2015
KOI-1358.02,Hot,rocky-iron,10.10,1.99,2.55,691.9,8.74,0.08,Cyg,0,2015
KOI-1358.03,Hot,rocky-iron,3.24,1.47,1.50,904.5,3.65,0.04,Cyg,0,2015
KOI-1358.04,Hot,rocky-iron,1.94,1.27,1.21,1039.4,2.35,0.03,Cyg,0,2015
KOI-1360.02,Hot,rocky-iron,14.66,2.18,3.09,643.0,14.59,0.11,Lyr,0,2015
KOI-1360.03,Hot,rocky-iron,0.59,0.89,0.75,1626.1,0.76,0.02,Lyr,0,2015
KOI-1361.01,Warm,rocky-iron,14.38,2.17,3.05,318.9,59.88,0.25,Cyg,1,2015
KOI-1363.01,Hot,rocky-iron,14.38,2.17,3.05,1258.5,3.55,0.05,Lyr,0,2015
KOI-1363.02,Hot,rocky-iron,8.95,1.93,2.40,1078.3,5.70,0.06,Lyr,0,2015
KOI-1364.04,Hot,rocky-iron,6.69,1.79,2.09,1130.5,3.72,0.05,Cyg,0,2015
KOI-1364.05,Hot,rocky-iron,4.93,1.65,1.81,1270.2,2.58,0.04,Cyg,0,2015
KOI-1367.01,Hot,rocky-iron,2.73,1.40,1.39,1752.0,0.57,0.01,Lyr,0,2015
KOI-1369.01,Hot,rocky-iron,5.16,1.67,1.85,1345.6,3.02,0.04,Cyg,0,2015
KOI-1370.01,Hot,rocky-iron,6.27,1.76,2.03,905.2,6.88,0.07,Lyr,0,2015
KOI-1377.01,Hot,rocky-iron,4.11,1.57,1.67,923.9,11.30,0.10,Cyg,0,2015
KOI-1379.01,Hot,rocky-iron,1.56,1.19,1.10,1014.8,5.62,0.06,Cyg,0,2015
KOI-1396.02,Hot,rocky-iron,6.69,1.79,2.09,1204.5,3.70,0.05,Lyr,0,2015
KOI-1397.01,Hot,rocky-iron,19.17,2.32,3.56,599.2,6.25,0.05,Cyg,0,2015
KOI-1402.01,Hot,rocky-iron,19.53,2.33,3.60,1013.5,7.14,0.07,Cyg,0,2015
KOI-1403.01,Hot,rocky-iron,6.14,1.75,2.01,424.2,18.75,0.11,Cyg,0,2015
KOI-1404.01,Hot,rocky-iron,2.40,1.35,1.32,415.4,13.32,0.09,Lyr,0,2015
KOI-1404.02,Hot,rocky-iron,0.71,0.94,0.80,368.1,18.91,0.11,Lyr,0,2015
KOI-1408.01,Hot,rocky-iron,2.60,1.38,1.36,466.3,14.53,0.10,Cyg,0,2015
KOI-1412.01,Hot,rocky-iron,18.10,2.29,3.45,661.5,37.81,0.23,Cyg,0,2015
KOI-1413.01,Hot,rocky-iron,3.09,1.45,1.47,779.6,12.65,0.10,Lyr,0,2015
KOI-1413.02,Hot,rocky-iron,1.60,1.20,1.11,655.9,21.53,0.14,Lyr,0,2015
KOI-1422.01,Hot,rocky-iron,3.66,1.52,1.58,479.5,5.84,0.05,Dra,0,2015
KOI-1422.02,Hot,rocky-iron,4.93,1.65,1.81,333.7,19.85,0.10,Dra,0,2015
KOI-1422.04,Warm,rocky-iron,1.74,1.23,1.15,234.8,63.34,0.23,Dra,1,2015
KOI-1422.05,Warm,rocky-iron,1.12,1.08,0.96,278.2,34.14,0.15,Dra,1,2015
KOI-1424.01,Hot,rocky-iron,4.21,1.58,1.69,1304.3,1.22,0.02,Cyg,0,2015
KOI-1425.01,Hot,rocky-iron,18.10,2.29,3.45,1426.5,2.05,0.03,Cyg,0,2015
KOI-1427.01,Hot,rocky-iron,3.57,1.51,1.57,743.5,2.61,0.03,Cyg,0,2015
KOI-1427.02,Hot,rocky-iron,0.49,0.84,0.69,652.0,4.88,0.05,Cyg,0,2015
KOI-1428.01,Hot,rocky-iron,12.55,2.10,2.85,1515.7,0.93,0.02,Cyg,0,2015
KOI-1430.01,Hot,rocky-iron,15.54,2.21,3.18,613.2,10.48,0.08,Dra,0,2015
KOI-1430.02,Hot,rocky-iron,17.10,2.26,3.35,483.7,22.93,0.14,Dra,0,2015
KOI-1432.01,Hot,rocky-iron,9.90,1.98,2.52,978.0,6.89,0.07,Dra,0,2015
KOI-1432.02,Hot,rocky-iron,5.88,1.73,1.97,761.3,15.05,0.12,Dra,0,2015
KOI-1432.03,Hot,rocky-iron,1.69,1.22,1.14,1276.9,2.93,0.04,Dra,0,2015
KOI-1432.04,Hot,rocky-iron,5.63,1.71,1.93,568.7,38.29,0.22,Dra,0,2015
KOI-1433.01,Hot,rocky-iron,18.45,2.30,3.49,676.0,19.81,0.14,Dra,0,2015
KOI-1434.01,Hot,rocky-iron,2.34,1.34,1.30,1144.1,2.34,0.03,Dra,0,2015
KOI-1435.01,Hot,rocky-iron,13.84,2.15,2.99,562.5,40.72,0.23,Cyg,0,2015
KOI-1435.02,Hot,rocky-iron,8.07,1.88,2.28,855.4,10.45,0.09,Cyg,0,2015
KOI-1436.01,Hot,rocky-iron,2.28,1.33,1.29,1314.5,2.51,0.04,Dra,0,2015
KOI-1436.02,Hot,rocky-iron,9.51,1.96,2.47,769.1,13.75,0.11,Dra,0,2015
KOI-1436.03,Hot,rocky-iron,2.66,1.39,1.38,1026.3,5.42,0.06,Dra,0,2015
KOI-1437.01,Hot,rocky-iron,4.02,1.56,1.65,1023.6,7.02,0.07,Dra,0,2015
KOI-1438.01,Hot,rocky-iron,3.02,1.44,1.45,1016.2,6.91,0.07,Cyg,0,2015
KOI-1440.01,Hot,rocky-iron,4.93,1.65,1.81,1036.5,7.19,0.07,Cyg,0,2015
KOI-1441.01,Hot,rocky-iron,8.77,1.92,2.38,944.3,8.51,0.08,Cyg,0,2015
KOI-1442.01,Hot,rocky-iron,1.65,1.21,1.12,2114.2,0.67,0.02,Dra,0,2015
KOI-1445.01,Hot,rocky-iron,1.84,1.25,1.18,1106.2,7.17,0.08,Dra,0,2015
KOI-1475.01,Hot,rocky-iron,6.98,1.81,2.13,939.2,1.61,0.02,Cyg,0,2015
KOI-1475.02,Hot,rocky-iron,22.30,2.40,3.87,545.0,9.51,0.07,Cyg,0,2015
KOI-1475.03,Hot,rocky-iron,2.60,1.38,1.36,664.1,4.73,0.05,Cyg,0,2015
KOI-1480.02,Hot,rocky-iron,1.69,1.22,1.14,776.1,7.00,0.07,Lyr,0,2015
KOI-1484.01,Hot,rocky-iron,24.51,2.45,4.08,982.4,3.47,0.04,Cyg,0,2015
KOI-1488.01,Hot,rocky-iron,23.60,2.43,4.00,1015.5,3.95,0.05,Cyg,0,2015
KOI-1489.01,Hot,rocky-iron,17.43,2.27,3.38,634.1,16.00,0.12,Lyr,0,2015
KOI-1491.01,Hot,rocky-iron,17.43,2.27,3.38,1144.8,3.15,0.04,Cyg,0,2015
KOI-1494.01,Hot,rocky-iron,15.24,2.20,3.15,718.9,8.20,0.07,Cyg,0,2015
KOI-1499.01,Hot,rocky-iron,23.16,2.42,3.95,743.6,14.16,0.11,Cyg,0,2015
KOI-1499.02,Hot,rocky-iron,0.22,0.65,0.51,1804.8,0.84,0.02,Cyg,0,2015
KOI-1499.03,Hot,rocky-iron,0.61,0.90,0.76,944.8,6.21,0.06,Cyg,0,2015
KOI-1501.01,Hot,rocky-iron,5.04,1.66,1.83,1037.6,2.62,0.03,Lyr,0,2015
KOI-1505.01,Hot,rocky-iron,11.16,2.04,2.68,1091.5,5.03,0.06,Lyr,0,2015
KOI-1510.01,Hot,rocky-iron,5.51,1.70,1.91,1510.7,0.84,0.02,Cyg,0,2015
KOI-1511.01,Hot,rocky-iron,4.40,1.60,1.72,1272.3,2.58,0.04,Cyg,0,2015
KOI-1515.01,Hot,rocky-iron,0.73,0.95,0.81,825.4,1.94,0.02,Lyr,0,2015
KOI-1515.02,Hot,rocky-iron,1.39,1.15,1.05,550.7,7.06,0.06,Lyr,0,2015
KOI-1518.01,Hot,rocky-iron,17.76,2.28,3.42,616.4,27.51,0.18,Cyg,0,2015
KOI-1519.01,Hot,rocky-iron,3.09,1.45,1.47,902.9,5.14,0.06,Lyr,0,2015
KOI-1519.02,Hot,rocky-iron,5.16,1.67,1.85,428.7,57.13,0.28,Lyr,0,2015
KOI-1520.01,Hot,rocky-iron,18.45,2.30,3.49,663.2,18.46,0.13,Cyg,0,2015
KOI-1521.01,Hot,rocky-iron,7.91,1.87,2.26,545.9,25.94,0.15,Lyr,0,2015
KOI-1525.01,Hot,rocky-iron,13.84,2.15,2.99,1302.2,7.71,0.09,Lyr,0,2015
KOI-1526.01,Hot,rocky-iron,4.93,1.65,1.81,1232.2,4.44,0.05,Cyg,0,2015
KOI-1528.01,Hot,rocky-iron,0.76,0.96,0.82,932.3,3.99,0.05,Cyg,0,2015
KOI-1529.01,Hot,rocky-iron,4.61,1.62,1.76,794.7,17.98,0.14,Lyr,0,2015
KOI-1529.02,Hot,rocky-iron,0.93,1.02,0.89,899.0,11.87,0.10,Lyr,0,2015
KOI-1530.01,Hot,rocky-iron,3.75,1.53,1.60,873.6,12.98,0.10,Dra,0,2015
KOI-1531.01,Hot,rocky-iron,2.22,1.32,1.28,1125.9,5.70,0.06,Cyg,0,2015
KOI-1532.01,Hot,rocky-iron,22.72,2.41,3.91,913.2,18.11,0.14,Cyg,0,2015
KOI-1533.01,Hot,rocky-iron,2.47,1.36,1.33,1135.7,6.24,0.07,Lyr,0,2015
KOI-1534.01,Hot,rocky-iron,4.61,1.62,1.76,821.6,20.42,0.15,Lyr,0,2015
KOI-1534.02,Hot,rocky-iron,1.02,1.05,0.93,1117.2,7.64,0.08,Lyr,0,2015
KOI-1535.01,Hot,rocky-iron,17.10,2.26,3.35,552.2,70.70,0.33,Cyg,0,2015
KOI-1536.01,Hot,rocky-iron,1.05,1.06,0.94,1328.5,3.74,0.05,Cyg,0,2015
KOI-1537.01,Hot,rocky-iron,3.66,1.52,1.58,1208.1,10.19,0.10,Lyr,0,2015
KOI-1557.04,Hot,rocky-iron,2.94,1.43,1.44,1355.8,1.50,0.02,Cyg,0,2015
KOI-1562.02,Hot,rocky-iron,12.07,2.08,2.79,708.0,20.07,0.14,Cyg,0,2015
KOI-1563.03,Hot,rocky-iron,7.28,1.83,2.17,1066.1,3.21,0.04,Cyg,0,2015
KOI-1567.02,Hot,rocky-iron,7.13,1.82,2.15,973.2,4.65,0.05,Lyr,0,2015
KOI-1573.02,Hot,rocky-iron,2.05,1.29,1.23,992.0,7.14,0.07,Cyg,0,2015
KOI-1574.03,Hot,rocky-iron,1.84,1.25,1.18,1233.1,5.83,0.06,Cyg,0,2015
KOI-1574.04,Hot,rocky-iron,3.92,1.55,1.63,1152.6,8.98,0.08,Cyg,0,2015
KOI-1577.01,Hot,rocky-iron,2.34,1.34,1.30,745.6,2.81,0.03,Cyg,0,2015
KOI-1583.01,Hot,rocky-iron,9.32,1.95,2.45,897.8,8.05,0.08,Cyg,0,2015
KOI-1584.01,Hot,rocky-iron,2.60,1.38,1.36,641.2,5.87,0.05,Lyr,0,2015
KOI-1586.01,Hot,rocky-iron,14.95,2.19,3.12,766.5,6.99,0.07,Cyg,0,2015
KOI-1588.01,Hot,rocky-iron,1.65,1.21,1.12,680.4,3.52,0.04,Lyr,0,2015
KOI-1589.03,Hot,rocky-iron,18.45,2.30,3.49,684.4,27.43,0.18,Cyg,0,2015
KOI-1589.04,Hot,rocky-iron,2.11,1.30,1.25,1224.5,4.22,0.05,Cyg,0,2015
KOI-1589.05,Hot,rocky-iron,12.07,2.08,2.79,587.1,44.55,0.25,Cyg,0,2015
KOI-1590.01,Hot,rocky-iron,8.24,1.89,2.31,658.2,12.89,0.10,Cyg,0,2015
KOI-1590.02,Hot,rocky-iron,2.34,1.34,1.30,1120.6,2.36,0.03,Cyg,0,2015
KOI-1590.03,Hot,rocky-iron,5.88,1.73,1.97,899.0,4.75,0.05,Cyg,0,2015
KOI-1593.01,Hot,rocky-iron,16.14,2.23,3.25,880.6,9.70,0.09,Cyg,0,2015
KOI-1593.02,Hot,rocky-iron,14.95,2.19,3.12,761.3,15.38,0.12,Cyg,0,2015
KOI-1595.01,Hot,rocky-iron,26.43,2.49,4.26,574.1,40.11,0.23,Cyg,0,2015
KOI-1596.01,Hot,rocky-iron,0.96,1.03,0.90,562.5,5.92,0.05,Cyg,0,2015
KOI-1596.02,Warm,rocky-iron,12.31,2.09,2.82,248.7,105.36,0.35,Cyg,1,2015
KOI-1597.01,Hot,rocky-iron,25.45,2.47,4.17,1170.9,7.80,0.08,Cyg,0,2015
KOI-1598.02,Hot,rocky-iron,21.47,2.38,3.79,428.5,92.88,0.39,Cyg,0,2015
KOI-1598.03,Hot,rocky-iron,1.65,1.21,1.12,749.6,13.93,0.11,Cyg,0,2015
KOI-1599.01,Hot,rocky-iron,6.27,1.76,2.03,702.0,20.41,0.15,Cyg,0,2015
KOI-1601.01,Hot,rocky-iron,6.14,1.75,2.01,816.2,10.35,0.09,Lyr,0,2015
KOI-1601.02,Hot,rocky-iron,16.14,2.23,3.25,471.6,62.92,0.30,Lyr,0,2015
KOI-1602.01,Hot,rocky-iron,2.53,1.37,1.35,830.9,9.98,0.09,Cyg,0,2015
KOI-1602.02,Hot,rocky-iron,0.51,0.85,0.71,1208.8,3.03,0.04,Cyg,0,2015
KOI-1603.01,Hot,rocky-iron,2.40,1.35,1.32,1369.2,3.02,0.04,Lyr,0,2015
KOI-1606.01,Hot,rocky-iron,3.24,1.47,1.50,998.6,5.08,0.06,Cyg,0,2015
KOI-1608.01,Hot,rocky-iron,4.11,1.57,1.67,967.6,9.18,0.09,Lyr,0,2015
KOI-1608.02,Hot,rocky-iron,3.17,1.46,1.49,757.4,19.74,0.14,Lyr,0,2015
KOI-1608.03,Hot,rocky-iron,10.51,2.01,2.60,361.2,232.06,0.73,Lyr,0,2015
KOI-1609.01,Hot,rocky-iron,14.66,2.18,3.09,609.9,41.70,0.23,Lyr,0,2015
KOI-1612.01,Hot,rocky-iron,0.27,0.70,0.56,1584.5,2.47,0.04,Dra,0,2015
KOI-1613.01,Hot,rocky-iron,1.51,1.18,1.09,908.6,15.87,0.12,Lyr,0,2015
KOI-1613.02,Hot,rocky-iron,0.93,1.02,0.89,515.5,94.09,0.41,Lyr,0,2015
KOI-1614.01,Hot,rocky-iron,19.91,2.34,3.64,838.6,20.72,0.14,Dra,0,2015
KOI-1615.01,Hot,rocky-iron,1.09,1.07,0.95,1725.7,1.34,0.02,Cyg,0,2015
KOI-1616.01,Hot,rocky-iron,1.69,1.22,1.14,825.0,13.93,0.12,Cyg,0,2015
KOI-1618.01,Hot,rocky-iron,0.44,0.81,0.66,1752.2,2.36,0.04,Cyg,0,2015
KOI-1619.01,Hot,rocky-iron,0.25,0.68,0.54,515.2,20.67,0.13,Cyg,0,2015
KOI-1626.01,Hot,rocky-iron,10.30,2.00,2.58,1262.4,2.53,0.03,Cyg,0,2015
KOI-1627.02,Hot,rocky-iron,5.75,1.72,1.95,890.7,5.94,0.06,Cyg,0,2015
KOI-1627.03,Hot,rocky-iron,2.34,1.34,1.30,1021.8,3.81,0.05,Cyg,0,2015
KOI-1628.01,Hot,rocky-iron,23.60,2.43,4.00,784.3,19.75,0.15,Cyg,0,2015
KOI-1628.02,Hot,rocky-iron,0.81,0.98,0.85,1673.0,1.77,0.03,Cyg,0,2015
KOI-1629.01,Hot,rocky-iron,2.22,1.32,1.28,1223.0,4.41,0.05,Cyg,0,2015
KOI-1630.01,Hot,rocky-iron,2.80,1.41,1.41,780.4,11.31,0.10,Cyg,0,2015
KOI-1632.01,Hot,rocky-iron,1.79,1.24,1.16,1356.7,4.59,0.05,Cyg,0,2015
KOI-1633.01,Hot,rocky-iron,7.43,1.84,2.20,539.6,32.30,0.19,Cyg,0,2015
KOI-1637.01,Hot,rocky-iron,7.59,1.85,2.22,1041.7,2.97,0.04,Cyg,0,2015
KOI-1641.01,Hot,rocky-iron,3.02,1.44,1.45,1140.3,4.85,0.06,Cyg,0,2015
KOI-1643.01,Hot,rocky-iron,8.95,1.93,2.40,912.7,11.05,0.10,Cyg,0,2015
KOI-1646.01,Hot,rocky-iron,0.96,1.03,0.90,986.7,3.72,0.04,Cyg,0,2015
KOI-1647.01,Hot,rocky-iron,8.59,1.91,2.35,829.1,14.97,0.12,Cyg,0,2015
KOI-1647.02,Hot,rocky-iron,5.51,1.70,1.91,649.6,32.28,0.20,Cyg,0,2015
KOI-1647.03,Hot,rocky-iron,0.93,1.02,0.89,1079.0,6.33,0.07,Cyg,0,2015
KOI-1648.01,Hot,rocky-iron,7.28,1.83,2.17,516.4,38.33,0.22,Dra,0,2015
KOI-1649.01,Hot,rocky-iron,0.66,0.92,0.78,612.9,4.04,0.04,Dra,0,2015
KOI-1655.01,Hot,rocky-iron,3.32,1.48,1.52,1936.9,0.94,0.02,Dra,0,2015
KOI-1660.01,Hot,rocky-iron,10.30,2.00,2.58,581.6,35.64,0.21,Lyr,0,2015
KOI-1665.01,Hot,rocky-iron,2.00,1.28,1.22,1090.1,6.93,0.08,Cyg,0,2015
KOI-1669.01,Hot,rocky-iron,26.93,2.50,4.31,558.7,61.04,0.31,Lyr,0,2015
KOI-1672.01,Hot,rocky-iron,17.10,2.26,3.35,441.6,33.87,0.18,Lyr,0,2015
KOI-1677.01,Hot,rocky-iron,7.13,1.82,2.15,482.6,52.07,0.26,Lyr,0,2015
KOI-1681.01,Hot,rocky-iron,0.84,0.99,0.86,468.9,6.94,0.05,Lyr,0,2015
KOI-1681.02,Hot,rocky-iron,0.26,0.69,0.55,687.8,1.99,0.02,Lyr,0,2015
KOI-1681.03,Hot,rocky-iron,0.29,0.71,0.57,574.1,3.53,0.03,Lyr,0,2015
KOI-1681.04,Hot,rocky-iron,0.37,0.77,0.62,316.8,21.91,0.11,Lyr,0,2015
KOI-1683.01,Hot,rocky-iron,6.55,1.78,2.07,948.4,9.11,0.09,Lyr,0,2015
KOI-1687.01,Hot,rocky-iron,6.83,1.80,2.11,937.0,3.93,0.04,Lyr,0,2015
KOI-1688.01,Hot,rocky-iron,0.53,0.86,0.72,1791.8,0.92,0.02,Cyg,0,2015
KOI-1692.02,Hot,rocky-iron,0.44,0.81,0.66,1247.5,2.46,0.04,Cyg,0,2015
KOI-1695.01,Hot,rocky-iron,18.45,2.30,3.49,609.2,71.45,0.35,Cyg,0,2015
KOI-1700.01,Hot,rocky-iron,2.40,1.35,1.32,781.4,8.04,0.07,Cyg,0,2015
KOI-1701.01,Hot,rocky-iron,6.27,1.76,2.03,2191.6,2.44,0.04,Cyg,0,2015
KOI-1702.01,Hot,rocky-iron,0.34,0.75,0.60,610.3,1.54,0.02,Cyg,0,2015
KOI-1705.01,Hot,rocky-iron,26.93,2.50,4.31,784.1,20.50,0.15,Lyr,0,2015
KOI-1706.01,Hot,rocky-iron,2.94,1.43,1.44,1314.2,1.92,0.03,Cyg,0,2015
KOI-1710.01,Hot,rocky-iron,10.72,2.02,2.63,654.6,14.20,0.10,Lyr,0,2015
KOI-1713.01,Hot,rocky-iron,2.22,1.32,1.28,599.4,6.83,0.06,Cyg,0,2015
KOI-1713.02,Hot,rocky-iron,1.56,1.19,1.10,850.3,2.24,0.03,Cyg,0,2015
KOI-1715.01,Hot,rocky-iron,8.24,1.89,2.31,453.9,105.01,0.42,Cyg,0,2015
KOI-1716.01,Hot,rocky-iron,4.31,1.59,1.70,919.0,4.88,0.05,Cyg,0,2015
KOI-1717.01,Hot,rocky-iron,8.77,1.92,2.38,910.8,10.56,0.10,Cyg,0,2015
KOI-1718.02,Hot,rocky-iron,22.30,2.40,3.87,426.2,153.34,0.55,Cyg,0,2015
KOI-1721.01,Hot,rocky-iron,12.07,2.08,2.79,482.1,52.63,0.27,Cyg,0,2015
KOI-1722.01,Hot,rocky-iron,6.14,1.75,2.01,740.7,14.88,0.12,Cyg,0,2015
KOI-1725.01,Hot,rocky-iron,6.27,1.76,2.03,395.6,9.89,0.06,Dra,0,2015
KOI-1726.01,Hot,rocky-iron,10.72,2.02,2.63,412.0,44.96,0.22,Cyg,0,2015
KOI-1731.01,Hot,rocky-iron,16.14,2.23,3.25,1061.1,2.59,0.03,Cyg,0,2015
KOI-1732.01,Hot,rocky-iron,24.97,2.46,4.13,512.7,43.32,0.23,Cyg,0,2015
KOI-1733.01,Hot,rocky-iron,8.07,1.88,2.28,557.0,19.18,0.12,Cyg,0,2015
KOI-1738.01,Hot,rocky-iron,1.02,1.05,0.93,1016.9,4.17,0.05,Lyr,0,2015
KOI-1746.01,Hot,rocky-iron,6.55,1.78,2.07,812.1,11.79,0.10,Cyg,0,2015
KOI-1749.01,Hot,rocky-iron,22.30,2.40,3.87,622.5,26.96,0.18,Cyg,0,2015
KOI-1750.01,Hot,rocky-iron,6.69,1.79,2.09,942.4,7.77,0.07,Cyg,0,2015
KOI-1750.02,Hot,rocky-iron,0.68,0.93,0.79,1336.8,2.54,0.04,Cyg,0,2015
KOI-1760.01,Hot,rocky-iron,12.80,2.11,2.88,997.2,5.52,0.06,Cyg,0,2015
KOI-1760.02,Hot,rocky-iron,7.59,1.85,2.22,858.9,8.78,0.08,Cyg,0,2015
KOI-1762.01,Hot,rocky-iron,16.46,2.24,3.28,1922.2,0.87,0.02,Cyg,0,2015
KOI-1781.02,Hot,rocky-iron,9.13,1.94,2.43,1029.1,3.01,0.04,Cyg,0,2015
KOI-1792.03,Hot,rocky-iron,1.43,1.16,1.06,880.7,9.11,0.09,Cyg,0,2015
KOI-1797.01,Hot,rocky-iron,19.53,2.33,3.60,606.8,16.78,0.12,Cyg,0,2015
KOI-1806.02,Hot,rocky-iron,2.80,1.41,1.41,814.8,17.93,0.14,Cyg,0,2015
KOI-1806.03,Hot,rocky-iron,1.02,1.05,0.93,1034.3,8.37,0.08,Cyg,0,2015
KOI-1809.01,Hot,rocky-iron,16.46,2.24,3.28,852.0,13.09,0.11,Cyg,0,2015
KOI-1809.02,Hot,rocky-iron,6.55,1.78,2.07,1157.8,4.92,0.06,Cyg,0,2015
KOI-1819.01,Hot,rocky-iron,4.31,1.59,1.70,691.8,12.06,0.09,Cyg,0,2015
KOI-1820.01,Hot,rocky-iron,4.31,1.59,1.70,1056.0,4.34,0.05,Lyr,0,2015
KOI-1820.02,Hot,rocky-iron,0.76,0.96,0.82,1434.4,1.65,0.02,Lyr,0,2015
KOI-1824.01,Hot,rocky-iron,8.95,1.93,2.40,1536.6,3.55,0.05,Lyr,0,2015
KOI-1824.02,Hot,rocky-iron,5.51,1.70,1.91,1956.3,1.68,0.03,Lyr,0,2015
KOI-1826.01,Hot,rocky-iron,23.16,2.42,3.95,389.0,134.25,0.50,Cyg,0,2015
KOI-1830.01,Hot,rocky-iron,7.75,1.86,2.24,624.7,13.23,0.09,Lyr,0,2015
KOI-1831.02,Hot,rocky-iron,1.23,1.11,1.00,975.0,4.39,0.05,Dra,0,2015
KOI-1831.03,Hot,rocky-iron,1.31,1.13,1.02,509.0,34.21,0.20,Dra,0,2015
KOI-1831.04,Hot,rocky-iron,3.66,1.52,1.58,678.8,13.98,0.11,Dra,0,2015
KOI-1833.01,Hot,rocky-iron,4.51,1.61,1.74,788.4,3.69,0.04,Dra,0,2015
KOI-1833.02,Hot,rocky-iron,9.32,1.95,2.45,630.3,7.68,0.06,Dra,0,2015
KOI-1833.03,Hot,rocky-iron,2.87,1.42,1.42,685.6,5.71,0.05,Dra,0,2015
KOI-1835.03,Hot,rocky-iron,23.60,2.43,4.00,1153.6,6.77,0.07,Cyg,0,2015
KOI-1837.01,Hot,rocky-iron,20.29,2.35,3.67,570.6,34.17,0.19,Cyg,0,2015
KOI-1837.02,Hot,rocky-iron,1.43,1.16,1.06,1458.8,1.68,0.03,Cyg,0,2015
KOI-1840.02,Hot,rocky-iron,6.01,1.74,1.98,1007.0,9.39,0.09,Cyg,0,2015
KOI-1841.01,Hot,rocky-iron,7.43,1.84,2.20,449.1,49.61,0.24,Cyg,0,2015
KOI-1843.01,Hot,rocky-iron,3.02,1.44,1.45,572.2,4.19,0.04,Lyr,0,2015
KOI-1850.01,Hot,rocky-iron,11.38,2.05,2.71,806.5,11.55,0.10,Cyg,0,2015
KOI-1851.01,Hot,rocky-iron,17.43,2.27,3.38,1151.1,4.47,0.05,Cyg,0,2015
KOI-1853.01,Hot,rocky-iron,14.95,2.19,3.12,538.6,60.09,0.31,Lyr,0,2015
KOI-1857.01,Hot,rocky-iron,26.93,2.50,4.31,439.6,88.64,0.38,Cyg,0,2015
KOI-1860.03,Hot,rocky-iron,5.27,1.68,1.87,1384.5,3.08,0.04,Lyr,0,2015
KOI-1860.04,Hot,rocky-iron,3.24,1.47,1.50,708.4,24.84,0.17,Lyr,0,2015
KOI-1862.01,Hot,rocky-iron,12.31,2.09,2.82,490.0,56.43,0.29,Cyg,0,2015
KOI-1867.01,Hot,rocky-iron,2.16,1.31,1.26,727.1,2.55,0.03,Cyg,0,2015
KOI-1867.02,Hot,rocky-iron,5.51,1.70,1.91,433.2,13.97,0.09,Cyg,0,2015
KOI-1867.03,Hot,rocky-iron,1.79,1.24,1.16,579.9,5.21,0.05,Cyg,0,2015
KOI-1868.01,Hot,rocky-iron,14.38,2.17,3.05,439.8,17.76,0.11,Lyr,0,2015
KOI-1871.01,Warm,rocky-iron,13.84,2.15,2.99,313.9,92.73,0.35,Lyr,1,2015
